Brand,Model,Year,Mileage,FuelType,EngineCapacity,HP,Price
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
Toyota,Corolla,2018,22000,Petrol,1700,150,28000
Honda,Civic,2017,25000,Hybrid,2000,160,32000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,22000,Hybrid,1800,150,27000
Honda,Civic,2017,25000,Petrol,2000,160,30000
Ford,Focus,2016,30000,Diesel,1600,130,22000
Toyota,Corolla,2018,20000,Petrol,1600,130,25000
Honda,Civic,2017,25000,Petrol,1500,120,23000
Ford,Focus,2016,30000,Diesel,1600,110,21000
